task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
4	3f/15485d	1995b4fe-8c16-42ca-9817-096f822f2fdb	sourmash_compute_sketch (SRR4050382_pass_molecule-protein_ksize-9_log2sketchsize-10)	CACHED	0	2019-03-12 08:29:19.377	28.5s	1.5s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
5	e0/795645	0a476ebb-6f08-4d78-89ba-4ccd485939ac	sourmash_compute_sketch (SRR4050379_pass_molecule-protein_ksize-9_log2sketchsize-10)	CACHED	0	2019-03-12 08:29:19.452	1m 40s	1m 14s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
7	e8/9035cf	fc7183ff-bb2f-49c0-859f-ead2c8427704	sourmash_compute_sketch (SRR4050380_pass_molecule-protein_ksize-9_log2sketchsize-10)	CACHED	0	2019-03-12 08:29:19.367	1m 18s	49.9s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
20	53/f00267	3eed5703-39f4-4e9d-8c4a-9f225c9583e4	sourmash_compute_sketch (SRR4050398_pass_molecule-protein_ksize-9_log2sketchsize-10)	CACHED	-	2019-03-12 08:29:19.631	-	-	-	-	-	-	-
28	58/e209ad	5f3336de-9fb6-4e85-9d17-d91914bb2bcf	sourmash_compute_sketch (SRR4050406_pass_molecule-protein_ksize-9_log2sketchsize-10)	CACHED	-	2019-03-12 08:29:19.902	-	-	-	-	-	-	-
31	69/501554	b6a3066a-bcd9-4bc8-9546-6b589bb140d7	sourmash_compute_sketch (SRR4050409_pass_molecule-protein_ksize-9_log2sketchsize-10)	CACHED	-	2019-03-12 08:29:19.920	-	-	-	-	-	-	-
33	d0/1dcb02	e8633558-f12b-4273-aee4-4e48759102e9	sourmash_compute_sketch (SRR4050411_pass_molecule-protein_ksize-9_log2sketchsize-10)	CACHED	-	2019-03-12 08:29:20.062	-	-	-	-	-	-	-
35	8b/7156bd	6790e3a5-57cb-48f0-977e-ad33865b0373	sourmash_compute_sketch (SRR4050413_pass_molecule-protein_ksize-9_log2sketchsize-10)	CACHED	-	2019-03-12 08:29:20.120	-	-	-	-	-	-	-
40	60/c6f6f6	79a190f1-4bed-4478-b6fe-9a889a69fd2c	sourmash_compute_sketch (SRR4050418_pass_molecule-protein_ksize-9_log2sketchsize-10)	CACHED	0	2019-03-12 08:29:20.137	57.7s	30.3s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
41	0b/494afc	98b18b03-918e-489e-9a4b-54a1840072c6	sourmash_compute_sketch (SRR4050419_pass_molecule-protein_ksize-9_log2sketchsize-10)	CACHED	0	2019-03-12 08:29:20.274	2m 8s	1m 36s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
